Bamidbar|"במדבר"
Amos|"עמוס"
Bereshit|"בראשית"
Daniel|"דניאל"
Devarim|"דברים"
DivreiHaYamimA|"דברי_הימים_א"
DivreiHaYamimB|"דברי_הימים_ב"
Eikhah|"איכה"
Ester|"אסתר"
Ezra|"עזרא"
Havakuk|"חבקוק"
Hoshea|"הושע"
Iyyobh|"איוב"
Khagay|"חגי"
Malakhi|"מלאכי"
MelakhimA|"מלכים_א"
MelakhimB|"מלכים_ב"
Mikhah|"מיכה"
Mishlei|"משלי"
Nahum|"נחום"
Nehemya|"נחמיה"
Ovadyah|"עובדיה"
Qoheleth|"קהלת"
Ruth|"רות"
ShemuelA|"שמואל_א"
ShemuelB|"שמואל_ב"
ShirHashshirim|"שיר_השירים"
Shmot|"שמות"
Shoftim|"שופטים"
Tehilim|"תהלים"
Tsefanya|"צפניה"
Vaikra|"ויקרא"
Yehoshua|"יהושע"
Yekhezqel|"יחזקאל"
Yeshayahu|"ישעיהו"
Yirmeyahu|"ירמיהו"
Yoel|"יואל"
Yonah|"יונה"
Zekharyah|"זכריה"
